ANIMAL;TIMESLOT;TIME REMAINING
KE;LM;10800
KA;LA;10800
HA;LA;10800
KE;EA;10800
TU;LA;10800
BI;EM;10800
TA;EM;10800
BI;LA;10800
KA;EA;10800
MU;EA;10800
SG;EM;10800
BI;EA;10800
FA;EM;10800
SG;LA;10800
AS;EA;10800
HA;EM;10800
HA;EA;10800
KA;LM;10800
SA;LA;10800
KE;EM;10800
MU;EM;10800
FA;EA;10800
TU;EM;10800
FA;LM;10800
MU;LA;10800
NO;EM;10800
SA;EM;10800
SW;LA;10800
TA;LM;10800
SA;EA;10800
AS;EM;10800
HA;LM;10800
NO;LM;10800
SG;EA;10800
KE;LA;10800
AS;LA;10800
SW;EM;10800
TU;EA;10800
TA;LA;10800
SW;EA;10800
MU;LM;10800
NO;LA;10800
TU;LM;10800
TA;EA;10800
BI;LM;10800
SA;LM;10800
AS;LM;10800
FA;LA;10800
NO;EA;10800
SG;LM;10800
SW;LM;10800
KA;EM;10800
